Connecting to host 10.0.0.1, port 5566
[  4] local 10.0.0.3 port 44610 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-0.10   sec  84.8 KBytes  6.93 Mbits/sec    0   39.6 KBytes       
[  4]   0.10-0.20   sec   716 KBytes  58.7 Mbits/sec    0    140 KBytes       
[  4]   0.20-0.35   sec  0.00 Bytes  0.00 bits/sec    0    146 KBytes       
[  4]   0.35-0.40   sec   318 KBytes  49.6 Mbits/sec    0    148 KBytes       
[  4]   0.40-0.50   sec  0.00 Bytes  0.00 bits/sec    0    156 KBytes       
[  4]   0.50-0.60   sec  0.00 Bytes  0.00 bits/sec    0    161 KBytes       
[  4]   0.60-0.71   sec   318 KBytes  23.1 Mbits/sec    0    167 KBytes       
[  4]   0.71-0.80   sec  0.00 Bytes  0.00 bits/sec    0    171 KBytes       
[  4]   0.80-0.90   sec   382 KBytes  31.2 Mbits/sec    0    177 KBytes       
[  4]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0    182 KBytes       
[  4]   1.00-1.10   sec  0.00 Bytes  0.00 bits/sec    0    188 KBytes       
[  4]   1.10-1.20   sec   382 KBytes  31.3 Mbits/sec    0    194 KBytes       
[  4]   1.20-1.30   sec  0.00 Bytes  0.00 bits/sec    0    199 KBytes       
[  4]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    0    206 KBytes       
[  4]   1.40-1.50   sec   445 KBytes  36.7 Mbits/sec    0    211 KBytes       
[  4]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0    218 KBytes       
[  4]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    0    223 KBytes       
[  4]   1.70-1.80   sec   509 KBytes  41.8 Mbits/sec    0    229 KBytes       
[  4]   1.80-1.90   sec  0.00 Bytes  0.00 bits/sec    0    235 KBytes       
[  4]   1.90-2.00   sec  0.00 Bytes  0.00 bits/sec    0    240 KBytes       
[  4]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    0    246 KBytes       
[  4]   2.10-2.20   sec   509 KBytes  41.7 Mbits/sec    0    252 KBytes       
[  4]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0    257 KBytes       
[  4]   2.30-2.40   sec  0.00 Bytes  0.00 bits/sec    0    263 KBytes       
[  4]   2.40-2.50   sec   573 KBytes  47.0 Mbits/sec    0    270 KBytes       
[  4]   2.50-2.60   sec  0.00 Bytes  0.00 bits/sec    0    276 KBytes       
[  4]   2.60-2.70   sec  0.00 Bytes  0.00 bits/sec    0    281 KBytes       
[  4]   2.70-2.80   sec  0.00 Bytes  0.00 bits/sec    0    287 KBytes       
[  4]   2.80-2.90   sec  0.00 Bytes  0.00 bits/sec    0    293 KBytes       
[  4]   2.90-3.00   sec   636 KBytes  52.4 Mbits/sec    0    298 KBytes       
[  4]   3.00-3.10   sec  0.00 Bytes  0.00 bits/sec    0    304 KBytes       
[  4]   3.10-3.20   sec  0.00 Bytes  0.00 bits/sec    0    311 KBytes       
[  4]   3.20-3.30   sec  0.00 Bytes  0.00 bits/sec    0    317 KBytes       
[  4]   3.30-3.40   sec   636 KBytes  52.6 Mbits/sec    0    322 KBytes       
[  4]   3.40-3.50   sec  0.00 Bytes  0.00 bits/sec    0    328 KBytes       
[  4]   3.50-3.60   sec  0.00 Bytes  0.00 bits/sec    0    334 KBytes       
[  4]   3.60-3.70   sec  0.00 Bytes  0.00 bits/sec    0    339 KBytes       
[  4]   3.70-3.80   sec  0.00 Bytes  0.00 bits/sec    0    345 KBytes       
[  4]   3.80-3.90   sec   700 KBytes  57.0 Mbits/sec    0    351 KBytes       
[  4]   3.90-4.00   sec  0.00 Bytes  0.00 bits/sec    0    358 KBytes       
[  4]   4.00-4.10   sec  0.00 Bytes  0.00 bits/sec    0    363 KBytes       
[  4]   4.10-4.20   sec  0.00 Bytes  0.00 bits/sec    0    369 KBytes       
[  4]   4.20-4.30   sec  0.00 Bytes  0.00 bits/sec    0    375 KBytes       
[  4]   4.30-4.40   sec   764 KBytes  62.4 Mbits/sec    0    380 KBytes       
[  4]   4.40-4.50   sec  0.00 Bytes  0.00 bits/sec    0    386 KBytes       
[  4]   4.50-4.60   sec  0.00 Bytes  0.00 bits/sec    0    392 KBytes       
[  4]   4.60-4.70   sec  0.00 Bytes  0.00 bits/sec    0    397 KBytes       
[  4]   4.70-4.80   sec  0.00 Bytes  0.00 bits/sec    0    404 KBytes       
[  4]   4.80-4.90   sec   827 KBytes  68.1 Mbits/sec    0    410 KBytes       
[  4]   4.90-5.00   sec  0.00 Bytes  0.00 bits/sec    0    416 KBytes       
[  4]   5.00-5.10   sec  0.00 Bytes  0.00 bits/sec    0    421 KBytes       
[  4]   5.10-5.20   sec  0.00 Bytes  0.00 bits/sec    0    427 KBytes       
[  4]   5.20-5.30   sec  0.00 Bytes  0.00 bits/sec    0    433 KBytes       
[  4]   5.30-5.40   sec  0.00 Bytes  0.00 bits/sec    0    438 KBytes       
[  4]   5.40-5.50   sec  0.00 Bytes  0.00 bits/sec    0    445 KBytes       
[  4]   5.50-5.60   sec   891 KBytes  73.3 Mbits/sec    0    451 KBytes       
[  4]   5.60-5.70   sec  0.00 Bytes  0.00 bits/sec    0    457 KBytes       
[  4]   5.70-5.80   sec  0.00 Bytes  0.00 bits/sec    0    462 KBytes       
[  4]   5.80-5.90   sec  0.00 Bytes  0.00 bits/sec    0    468 KBytes       
[  4]   5.90-6.00   sec  0.00 Bytes  0.00 bits/sec    0    474 KBytes       
[  4]   6.00-6.10   sec  0.00 Bytes  0.00 bits/sec    0    479 KBytes       
[  4]   6.10-6.20   sec  1018 KBytes  83.4 Mbits/sec    0    485 KBytes       
[  4]   6.20-6.30   sec  0.00 Bytes  0.00 bits/sec    0    491 KBytes       
[  4]   6.30-6.40   sec  0.00 Bytes  0.00 bits/sec    0    498 KBytes       
[  4]   6.40-6.50   sec  0.00 Bytes  0.00 bits/sec    0    503 KBytes       
[  4]   6.50-6.60   sec  0.00 Bytes  0.00 bits/sec    0    509 KBytes       
[  4]   6.60-6.70   sec  0.00 Bytes  0.00 bits/sec    0    515 KBytes       
[  4]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0    520 KBytes       
[  4]   6.80-6.90   sec  1.06 MBytes  90.3 Mbits/sec    0    526 KBytes       
[  4]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0    532 KBytes       
[  4]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0    537 KBytes       
[  4]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    0    544 KBytes       
[  4]   7.20-7.30   sec  0.00 Bytes  0.00 bits/sec    0    549 KBytes       
[  4]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    0    554 KBytes       
[  4]   7.40-7.50   sec  0.00 Bytes  0.00 bits/sec    0    560 KBytes       
[  4]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0    566 KBytes       
[  4]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    0    571 KBytes       
[  4]   7.70-7.80   sec  1.12 MBytes  93.6 Mbits/sec    0    577 KBytes       
[  4]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    0    583 KBytes       
[  4]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0    588 KBytes       
[  4]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0    594 KBytes       
[  4]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0    600 KBytes       
[  4]   8.20-8.30   sec  0.00 Bytes  0.00 bits/sec    0    605 KBytes       
[  4]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec    0    611 KBytes       
