Connecting to host 10.0.0.1, port 5566
[  4] local 10.0.0.3 port 53110 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-0.15   sec  84.8 KBytes  4.50 Mbits/sec    0   14.1 KBytes       
[  4]   0.15-0.20   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   0.20-0.30   sec  0.00 Bytes  0.00 bits/sec    0   14.1 KBytes       
[  4]   0.30-0.40   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[  4]   0.40-0.50   sec   257 KBytes  21.1 Mbits/sec    0   56.6 KBytes       
[  4]   0.50-0.60   sec  0.00 Bytes  0.00 bits/sec    0   56.6 KBytes       
[  4]   0.60-0.70   sec  0.00 Bytes  0.00 bits/sec    0    113 KBytes       
[  4]   0.70-0.80   sec  0.00 Bytes  0.00 bits/sec    0    113 KBytes       
[  4]   0.80-0.90   sec   833 KBytes  68.1 Mbits/sec    0    215 KBytes       
[  4]   0.90-1.00   sec  0.00 Bytes  0.00 bits/sec    0    257 KBytes       
[  4]   1.00-1.10   sec   636 KBytes  52.2 Mbits/sec    0    370 KBytes       
[  4]   1.10-1.20   sec   827 KBytes  67.7 Mbits/sec    0    488 KBytes       
[  4]   1.20-1.30   sec  1.18 MBytes  98.2 Mbits/sec    0    605 KBytes       
[  4]   1.30-1.40   sec  0.00 Bytes  0.00 bits/sec    0    723 KBytes       
[  4]   1.40-1.50   sec  1.25 MBytes   104 Mbits/sec    0    837 KBytes       
[  4]   1.50-1.60   sec  0.00 Bytes  0.00 bits/sec    0    956 KBytes       
[  4]   1.60-1.70   sec  0.00 Bytes  0.00 bits/sec    0   1.05 MBytes       
[  4]   1.70-1.80   sec  1.25 MBytes   105 Mbits/sec    0   1.16 MBytes       
[  4]   1.80-1.90   sec  0.00 Bytes  0.00 bits/sec    0   1.27 MBytes       
[  4]   1.90-2.00   sec  1.25 MBytes   105 Mbits/sec    0   1.39 MBytes       
[  4]   2.00-2.10   sec  0.00 Bytes  0.00 bits/sec    0   1.51 MBytes       
[  4]   2.10-2.20   sec  1.25 MBytes   106 Mbits/sec    0   1.62 MBytes       
[  4]   2.20-2.30   sec  0.00 Bytes  0.00 bits/sec    0   1.73 MBytes       
[  4]   2.30-2.40   sec  0.00 Bytes  0.00 bits/sec    0   1.84 MBytes       
[  4]   2.40-2.50   sec  1.25 MBytes   105 Mbits/sec    0   1.96 MBytes       
[  4]   2.50-2.60   sec  0.00 Bytes  0.00 bits/sec    0   2.07 MBytes       
[  4]   2.60-2.70   sec  1.25 MBytes   105 Mbits/sec    0   2.18 MBytes       
